RecordID,SerialID,LocalTime,latitude,longitude,Fix_Status,DOP,Speed_kmh,Limit_kmh
19015,26,9/8/2009 17:36,43.676847,-79.730688,2D Fix,2.8,0,50
19016,26,9/8/2009 17:44,43.676703,-79.730872,3D Fix,0.4,0,50
19017,26,9/8/2009 17:44,43.676703,-79.730868,3D Fix,0.4,0,50
19018,26,9/8/2009 17:44,43.676703,-79.730867,3D Fix,0.4,0,50
19019,26,9/8/2009 17:44,43.676695,-79.73087,3D Fix,0.4,0.7,50
19020,26,9/8/2009 17:44,43.67671,-79.730852,3D Fix,0.4,1.5,50
19021,26,9/8/2009 17:44,43.676705,-79.73084,3D Fix,0.4,1.5,50
19022,26,9/8/2009 17:44,43.676698,-79.73083,3D Fix,0.4,3,50
19023,26,9/8/2009 17:44,43.676693,-79.730818,3D Fix,0.4,3,50
19024,26,9/8/2009 17:44,43.676685,-79.73081,3D Fix,0.4,2.2,50
19025,26,9/8/2009 17:44,43.676678,-79.730805,3D Fix,0.4,2.2,50
19026,26,9/8/2009 17:44,43.676675,-79.730802,3D Fix,0.4,0.7,50
19027,26,9/8/2009 17:44,43.676673,-79.730798,3D Fix,0.4,0,50
19028,26,9/8/2009 17:44,43.67667,-79.730795,3D Fix,0.4,1.5,50
19029,26,9/8/2009 17:44,43.676667,-79.73079,3D Fix,0.4,0.7,50
19030,26,9/8/2009 17:44,43.676665,-79.730785,3D Fix,0.4,0.7,50
19031,26,9/8/2009 17:44,43.67666,-79.730782,3D Fix,0.4,2.2,50
19032,26,9/8/2009 17:44,43.676655,-79.730773,3D Fix,0.4,3,50
19033,26,9/8/2009 17:44,43.67665,-79.730765,3D Fix,0.4,3,50
19034,26,9/8/2009 17:44,43.676647,-79.730755,3D Fix,0.4,3,50
19035,26,9/8/2009 17:44,43.67664,-79.730745,3D Fix,0.4,3,50
19036,26,9/8/2009 17:44,43.676635,-79.730738,3D Fix,0.4,1.5,50
19037,26,9/8/2009 17:44,43.676632,-79.730732,3D Fix,0.4,2.2,50
19038,26,9/8/2009 17:44,43.676627,-79.730725,3D Fix,0.4,2.2,50
19039,26,9/8/2009 17:44,43.676625,-79.730723,3D Fix,0.4,0,50
19040,26,9/8/2009 17:44,43.676628,-79.730722,3D Fix,0.4,0.7,50
19041,26,9/8/2009 17:44,43.676637,-79.730717,3D Fix,0.4,3.7,50
19042,26,9/8/2009 17:44,43.676648,-79.730703,3D Fix,0.4,8.1,50
19043,26,9/8/2009 17:44,43.676665,-79.730673,3D Fix,0.4,12.6,50
19044,26,9/8/2009 17:44,43.676683,-79.73063,3D Fix,0.4,14.8,50
19045,26,9/8/2009 17:44,43.676702,-79.73058,3D Fix,0.4,17,50
19046,26,9/8/2009 17:44,43.67673,-79.730527,3D Fix,0.4,20,50
19047,26,9/8/2009 17:44,43.676768,-79.73047,3D Fix,0.4,22.2,50
19048,26,9/8/2009 17:44,43.676812,-79.730415,3D Fix,0.4,23.7,50
19049,26,9/8/2009 17:44,43.676862,-79.730362,3D Fix,0.4,24.4,50
19050,26,9/8/2009 17:44,43.676915,-79.73031,3D Fix,0.4,25.9,50
19051,26,9/8/2009 17:44,43.676972,-79.730257,3D Fix,0.4,27.4,50
19052,26,9/8/2009 17:44,43.67703,-79.730202,3D Fix,0.4,26.7,50
19053,26,9/8/2009 17:44,43.677085,-79.73015,3D Fix,0.4,23.7,50
19054,26,9/8/2009 17:44,43.677128,-79.730108,3D Fix,0.4,17.8,50
19055,26,9/8/2009 17:44,43.677158,-79.730075,3D Fix,0.4,12.6,50
19056,26,9/8/2009 17:44,43.677175,-79.730055,3D Fix,0.4,6.7,50
19057,26,9/8/2009 17:44,43.677187,-79.73004,3D Fix,0.4,4.4,50
19058,26,9/8/2009 17:44,43.677195,-79.73003,3D Fix,0.4,3.7,50
19059,26,9/8/2009 17:44,43.677202,-79.730018,3D Fix,0.4,3.7,50
19060,26,9/8/2009 17:44,43.677207,-79.730003,3D Fix,0.4,5.2,50
19061,26,9/8/2009 17:44,43.677212,-79.72998,3D Fix,0.4,7.4,50
19062,26,9/8/2009 17:44,43.677217,-79.729955,3D Fix,0.4,7.4,50
19063,26,9/8/2009 17:44,43.67722,-79.729923,3D Fix,0.4,8.9,50
19064,26,9/8/2009 17:44,43.677217,-79.729888,3D Fix,0.4,10.4,50
19065,26,9/8/2009 17:44,43.67721,-79.729847,3D Fix,0.4,13.3,50
19066,26,9/8/2009 17:44,43.677193,-79.729795,3D Fix,0.4,17.8,50
19067,26,9/8/2009 17:44,43.677167,-79.729735,3D Fix,0.4,21.5,50
19068,26,9/8/2009 17:44,43.67713,-79.729667,3D Fix,0.4,25.2,50
19069,26,9/8/2009 17:44,43.67709,-79.72959,3D Fix,0.4,28.2,50
19070,26,9/8/2009 17:44,43.677047,-79.729507,3D Fix,0.4,29.6,50
19071,26,9/8/2009 17:44,43.677005,-79.729422,3D Fix,0.4,29.6,50
19072,26,9/8/2009 17:45,43.676963,-79.729342,3D Fix,0.4,26.7,50
19073,26,9/8/2009 17:45,43.676932,-79.729273,3D Fix,0.4,20,50
19074,26,9/8/2009 17:45,43.676908,-79.729228,3D Fix,0.4,11.9,50
19075,26,9/8/2009 17:45,43.676895,-79.729198,3D Fix,0.4,8.1,50
19076,26,9/8/2009 17:45,43.676888,-79.72918,3D Fix,0.4,3.7,50
19077,26,9/8/2009 17:45,43.676885,-79.72917,3D Fix,0.4,3,50
19078,26,9/8/2009 17:45,43.676883,-79.72916,3D Fix,0.4,3,50
19079,26,9/8/2009 17:45,43.676882,-79.729143,3D Fix,0.4,5.9,50
19080,26,9/8/2009 17:45,43.676883,-79.729113,3D Fix,0.4,10.4,50
19081,26,9/8/2009 17:45,43.67689,-79.729075,3D Fix,0.4,11.9,50
19082,26,9/8/2009 17:45,43.676902,-79.729037,3D Fix,0.4,11.9,50
19083,26,9/8/2009 17:45,43.676918,-79.729003,3D Fix,0.4,10.4,50
19084,26,9/8/2009 17:45,43.676937,-79.728978,3D Fix,0.4,8.9,50
19085,26,9/8/2009 17:45,43.676958,-79.728958,3D Fix,0.4,11.1,50
19086,26,9/8/2009 17:45,43.676987,-79.728938,3D Fix,0.4,13.3,50
19087,26,9/8/2009 17:45,43.677018,-79.728913,3D Fix,0.4,15.6,50
19088,26,9/8/2009 17:45,43.677055,-79.728885,3D Fix,0.4,17.8,50
19089,26,9/8/2009 17:45,43.677095,-79.728852,3D Fix,0.4,19.3,50
19090,26,9/8/2009 17:45,43.67714,-79.728815,3D Fix,0.4,20.7,50
19091,26,9/8/2009 17:45,43.677188,-79.728775,3D Fix,0.4,22.2,50
19092,26,9/8/2009 17:45,43.677237,-79.728732,3D Fix,0.4,23,50
19093,26,9/8/2009 17:45,43.677283,-79.728687,3D Fix,0.4,22.2,40
19094,26,9/8/2009 17:45,43.677327,-79.728647,3D Fix,0.4,19.3,40
19095,26,9/8/2009 17:45,43.677362,-79.72861,3D Fix,0.4,14.8,40
19096,26,9/8/2009 17:45,43.677385,-79.72858,3D Fix,0.4,10.4,40
19097,26,9/8/2009 17:45,43.6774,-79.728555,3D Fix,0.4,7.4,40
19098,26,9/8/2009 17:45,43.677408,-79.728533,3D Fix,0.4,6.7,40
19099,26,9/8/2009 17:45,43.67741,-79.728503,3D Fix,0.4,9.6,40
19100,26,9/8/2009 17:45,43.677405,-79.72846,3D Fix,0.4,14.1,40
19101,26,9/8/2009 17:45,43.67739,-79.728407,3D Fix,0.4,18.5,40
19102,26,9/8/2009 17:45,43.677367,-79.72834,3D Fix,0.4,23,40
19103,26,9/8/2009 17:45,43.677335,-79.728262,3D Fix,0.4,27.4,40
19104,26,9/8/2009 17:45,43.677295,-79.728172,3D Fix,0.4,31.9,40
19105,26,9/8/2009 17:45,43.677247,-79.728072,3D Fix,0.4,35.6,40
19106,26,9/8/2009 17:45,43.677195,-79.727962,3D Fix,0.4,39.3,40
19107,26,9/8/2009 17:45,43.677137,-79.727845,3D Fix,0.4,41.5,40
19108,26,9/8/2009 17:45,43.677072,-79.727725,3D Fix,0.4,42.2,40
19109,26,9/8/2009 17:45,43.67701,-79.727605,3D Fix,0.4,42.2,40
19110,26,9/8/2009 17:45,43.676947,-79.727487,3D Fix,0.4,41.5,40
19111,26,9/8/2009 17:45,43.67688,-79.727372,3D Fix,0.4,41.5,40
19112,26,9/8/2009 17:45,43.67681,-79.727262,3D Fix,0.4,41.5,40
19113,26,9/8/2009 17:45,43.676737,-79.727158,3D Fix,0.4,40.7,40
19114,26,9/8/2009 17:45,43.676657,-79.727062,3D Fix,0.4,40.7,40
19115,26,9/8/2009 17:45,43.676575,-79.726973,3D Fix,0.4,40,40
19116,26,9/8/2009 17:45,43.676493,-79.726888,3D Fix,0.4,39.3,40
19117,26,9/8/2009 17:45,43.67641,-79.726807,3D Fix,0.4,39.3,40
19118,26,9/8/2009 17:45,43.676328,-79.726725,3D Fix,0.4,39.3,40
19119,26,9/8/2009 17:45,43.676247,-79.726645,3D Fix,0.4,39.3,40
19120,26,9/8/2009 17:45,43.676163,-79.726567,3D Fix,0.4,39.3,40
19121,26,9/8/2009 17:45,43.67608,-79.726498,3D Fix,0.4,37.8,40
19122,26,9/8/2009 17:45,43.675998,-79.726438,3D Fix,0.4,35.6,50
19123,26,9/8/2009 17:45,43.675918,-79.72639,3D Fix,0.4,33.3,50
19124,26,9/8/2009 17:45,43.675837,-79.726358,3D Fix,0.4,31.1,50
19125,26,9/8/2009 17:45,43.675762,-79.726338,3D Fix,0.4,28.2,50
19126,26,9/8/2009 17:45,43.6757,-79.726327,3D Fix,0.4,23,50
19127,26,9/8/2009 17:45,43.675647,-79.726317,3D Fix,0.4,19.3,50
19128,26,9/8/2009 17:45,43.675602,-79.72631,3D Fix,0.4,15.6,50
19129,26,9/8/2009 17:45,43.675568,-79.726305,3D Fix,0.5,11.9,50
19130,26,9/8/2009 17:45,43.675543,-79.726302,3D Fix,0.4,8.1,50
19131,26,9/8/2009 17:45,43.675527,-79.7263,3D Fix,0.4,5.2,50
19132,26,9/8/2009 17:46,43.675515,-79.7263,3D Fix,0.4,3,50
19133,26,9/8/2009 17:46,43.675508,-79.726298,3D Fix,0.4,1.5,50
19134,26,9/8/2009 17:46,43.675505,-79.726298,3D Fix,0.4,0.7,50
19135,26,9/8/2009 17:46,43.675505,-79.726298,3D Fix,0.4,0,50
19136,26,9/8/2009 17:46,43.675505,-79.726298,3D Fix,0.4,0,50
19137,26,9/8/2009 17:46,43.675505,-79.726298,3D Fix,0.4,0,50
19138,26,9/8/2009 17:46,43.675505,-79.7263,3D Fix,0.4,0,50
19139,26,9/8/2009 17:46,43.675507,-79.7263,3D Fix,0.4,0,50
19140,26,9/8/2009 17:46,43.675507,-79.726302,3D Fix,0.4,0,50
19141,26,9/8/2009 17:46,43.675508,-79.726302,3D Fix,0.4,0,50
19142,26,9/8/2009 17:46,43.675508,-79.726302,3D Fix,0.4,0,50
19143,26,9/8/2009 17:46,43.675508,-79.726303,3D Fix,0.4,0,50
19144,26,9/8/2009 17:46,43.675508,-79.726303,3D Fix,0.4,0,50
19145,26,9/8/2009 17:46,43.67551,-79.726305,3D Fix,0.4,0,50
19146,26,9/8/2009 17:46,43.675508,-79.726307,3D Fix,0.4,0.7,50
19147,26,9/8/2009 17:46,43.675503,-79.726307,3D Fix,0.4,3.7,50
19148,26,9/8/2009 17:46,43.675492,-79.726308,3D Fix,0.4,5.2,50
19149,26,9/8/2009 17:46,43.675475,-79.72631,3D Fix,0.4,5.9,50
19150,26,9/8/2009 17:46,43.675458,-79.726312,3D Fix,0.4,6.7,50
19151,26,9/8/2009 17:46,43.675442,-79.726312,3D Fix,0.4,6.7,50
19152,26,9/8/2009 17:46,43.675423,-79.726312,3D Fix,0.4,6.7,50
19153,26,9/8/2009 17:46,43.675407,-79.726312,3D Fix,0.4,6.7,50
19154,26,9/8/2009 17:46,43.675388,-79.726308,3D Fix,0.4,6.7,50
19155,26,9/8/2009 17:46,43.67537,-79.726305,3D Fix,0.4,6.7,50
19156,26,9/8/2009 17:46,43.675352,-79.726302,3D Fix,0.4,7.4,50
19157,26,9/8/2009 17:46,43.675333,-79.726297,3D Fix,0.4,6.7,50
19158,26,9/8/2009 17:46,43.675317,-79.726292,3D Fix,0.4,4.4,50
19159,26,9/8/2009 17:46,43.675307,-79.726288,3D Fix,0.4,3,50
19160,26,9/8/2009 17:46,43.6753,-79.726287,3D Fix,0.4,2.2,50
19161,26,9/8/2009 17:46,43.675293,-79.726285,3D Fix,0.4,2.2,50
19162,26,9/8/2009 17:46,43.675287,-79.726282,3D Fix,0.4,3,50
19163,26,9/8/2009 17:46,43.675277,-79.72628,3D Fix,0.4,3.7,50
19164,26,9/8/2009 17:46,43.675265,-79.726277,3D Fix,0.4,5.2,50
19165,26,9/8/2009 17:46,43.675247,-79.726272,3D Fix,0.4,8.9,50
19166,26,9/8/2009 17:46,43.675215,-79.726265,3D Fix,0.4,14.8,50
19167,26,9/8/2009 17:46,43.675172,-79.726255,3D Fix,0.4,18.5,50
19168,26,9/8/2009 17:46,43.675118,-79.726243,3D Fix,0.4,23,50
19169,26,9/8/2009 17:46,43.675057,-79.726233,3D Fix,0.4,25.9,50
19170,26,9/8/2009 17:46,43.674987,-79.726222,3D Fix,0.4,28.9,50
19171,26,9/8/2009 17:46,43.67491,-79.72621,3D Fix,0.4,31.1,50
19172,26,9/8/2009 17:46,43.67483,-79.726203,3D Fix,0.4,32.6,50
19173,26,9/8/2009 17:46,43.674743,-79.726208,3D Fix,0.4,34.1,50
19174,26,9/8/2009 17:46,43.674657,-79.72623,3D Fix,0.4,34.8,50
19175,26,9/8/2009 17:46,43.674568,-79.72626,3D Fix,0.4,35.6,50
19176,26,9/8/2009 17:46,43.674487,-79.726307,3D Fix,0.4,34.1,50
19177,26,9/8/2009 17:46,43.67441,-79.726363,3D Fix,0.4,33.3,50
19178,26,9/8/2009 17:46,43.674345,-79.726428,3D Fix,0.4,29.6,50
19179,26,9/8/2009 17:46,43.674292,-79.726485,3D Fix,0.4,23,50
19180,26,9/8/2009 17:46,43.674255,-79.726527,3D Fix,0.4,15.6,50
19181,26,9/8/2009 17:46,43.674232,-79.726553,3D Fix,0.5,8.1,50
19182,26,9/8/2009 17:46,43.674217,-79.726572,3D Fix,0.4,7.4,50
19183,26,9/8/2009 17:46,43.674197,-79.726598,3D Fix,0.4,13.3,50
19184,26,9/8/2009 17:46,43.674165,-79.726642,3D Fix,0.4,20,50
19185,26,9/8/2009 17:46,43.674122,-79.726697,3D Fix,0.4,25.2,50
19186,26,9/8/2009 17:46,43.67407,-79.726765,3D Fix,0.4,29.6,50
19187,26,9/8/2009 17:46,43.674012,-79.726842,3D Fix,0.4,33.3,50
19188,26,9/8/2009 17:46,43.673945,-79.726925,3D Fix,0.4,36.3,50
19189,26,9/8/2009 17:46,43.673875,-79.727015,3D Fix,0.4,38.5,50
19190,26,9/8/2009 17:46,43.6738,-79.727112,3D Fix,0.4,41.5,50
19191,26,9/8/2009 17:46,43.67372,-79.727212,3D Fix,0.4,43,50
19192,26,9/8/2009 17:47,43.67364,-79.727315,3D Fix,0.4,43,50
19193,26,9/8/2009 17:47,43.67356,-79.727418,3D Fix,0.4,43,50
19194,26,9/8/2009 17:47,43.67348,-79.727522,3D Fix,0.4,42.2,50
19195,26,9/8/2009 17:47,43.673402,-79.727623,3D Fix,0.4,42.2,50
19196,26,9/8/2009 17:47,43.673323,-79.727727,3D Fix,0.4,42.2,50
19197,26,9/8/2009 17:47,43.673245,-79.727827,3D Fix,0.4,42.2,50
19198,26,9/8/2009 17:47,43.673167,-79.727928,3D Fix,0.4,41.5,50
19199,26,9/8/2009 17:47,43.673092,-79.728028,3D Fix,0.4,40.7,50
19200,26,9/8/2009 17:47,43.673015,-79.728127,3D Fix,0.4,40.7,50
19201,26,9/8/2009 17:47,43.672938,-79.728225,3D Fix,0.4,40.7,50
19202,26,9/8/2009 17:47,43.672863,-79.728323,3D Fix,0.4,40.7,50
19203,26,9/8/2009 17:47,43.672787,-79.728423,3D Fix,0.4,41.5,50
19204,26,9/8/2009 17:47,43.67271,-79.728523,3D Fix,0.4,41.5,50
19205,26,9/8/2009 17:47,43.672633,-79.728623,3D Fix,0.4,40.7,50
19206,26,9/8/2009 17:47,43.672558,-79.72872,3D Fix,0.4,39.3,50
19207,26,9/8/2009 17:47,43.67249,-79.72881,3D Fix,0.4,36.3,50
19208,26,9/8/2009 17:47,43.672428,-79.728892,3D Fix,0.4,31.1,50
19209,26,9/8/2009 17:47,43.672378,-79.728955,3D Fix,0.4,23,50
19210,26,9/8/2009 17:47,43.672347,-79.728997,3D Fix,0.4,12.6,50
19211,26,9/8/2009 17:47,43.672327,-79.729023,3D Fix,0.4,8.9,50
19212,26,9/8/2009 17:47,43.67231,-79.729047,3D Fix,0.4,10.4,50
19213,26,9/8/2009 17:47,43.672285,-79.729082,3D Fix,0.4,17.8,50
19214,26,9/8/2009 17:47,43.672245,-79.729132,3D Fix,0.4,23.7,50
19215,26,9/8/2009 17:47,43.672197,-79.729197,3D Fix,0.4,28.9,50
19216,26,9/8/2009 17:47,43.67214,-79.729272,3D Fix,0.4,32.6,50
19217,26,9/8/2009 17:47,43.672077,-79.729353,3D Fix,0.4,35.6,50
19218,26,9/8/2009 17:47,43.672008,-79.729443,3D Fix,0.4,38.5,50
19219,26,9/8/2009 17:47,43.671933,-79.729537,3D Fix,0.4,40.7,50
19220,26,9/8/2009 17:47,43.671857,-79.729632,3D Fix,0.4,40.7,50
19221,26,9/8/2009 17:47,43.671777,-79.729725,3D Fix,0.4,40.7,50
19222,26,9/8/2009 17:47,43.671697,-79.729817,3D Fix,0.4,41.5,50
19223,26,9/8/2009 17:47,43.671615,-79.729907,3D Fix,0.4,40.7,50
19224,26,9/8/2009 17:47,43.671532,-79.729997,3D Fix,0.4,41.5,40
19225,26,9/8/2009 17:47,43.671448,-79.730087,3D Fix,0.4,42.2,40
19226,26,9/8/2009 17:47,43.671363,-79.73018,3D Fix,0.4,43,40
19227,26,9/8/2009 17:47,43.671278,-79.730273,3D Fix,0.4,43,40
19228,26,9/8/2009 17:47,43.671193,-79.730367,3D Fix,0.4,43,40
19229,26,9/8/2009 17:47,43.671108,-79.730462,3D Fix,0.4,43,40
19230,26,9/8/2009 17:47,43.671025,-79.730558,3D Fix,0.4,42.2,40
19231,26,9/8/2009 17:47,43.670948,-79.730658,3D Fix,0.4,41.5,40
19232,26,9/8/2009 17:47,43.670877,-79.730765,3D Fix,0.4,40.7,40
19233,26,9/8/2009 17:47,43.670813,-79.730877,3D Fix,0.4,40.7,40
19234,26,9/8/2009 17:47,43.670755,-79.730997,3D Fix,0.4,41.5,40
19235,26,9/8/2009 17:47,43.670702,-79.731122,3D Fix,0.4,42.2,40
19236,26,9/8/2009 17:47,43.67065,-79.73125,3D Fix,0.4,41.5,40
19237,26,9/8/2009 17:47,43.670602,-79.73138,3D Fix,0.4,41.5,40
19238,26,9/8/2009 17:47,43.670555,-79.731508,3D Fix,0.4,41.5,40
19239,26,9/8/2009 17:47,43.67051,-79.73164,3D Fix,0.4,41.5,40
19240,26,9/8/2009 17:47,43.67047,-79.731775,3D Fix,0.4,41.5,40
19241,26,9/8/2009 17:47,43.670445,-79.731918,3D Fix,0.4,41.5,40
19242,26,9/8/2009 17:47,43.670432,-79.732063,3D Fix,0.4,41.5,40
19243,26,9/8/2009 17:47,43.670428,-79.732208,3D Fix,0.4,40.7,40
19244,26,9/8/2009 17:47,43.670432,-79.732352,3D Fix,0.4,40.7,40
19245,26,9/8/2009 17:47,43.670437,-79.732495,3D Fix,0.4,41.5,40
